   lxc-monitord 20170223215620.419 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223215650.188 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223215650.188 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220047.621 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220047.621 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 15004 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220047.622 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223220118.897 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223220118.897 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220157.726 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220157.727 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 15152 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220157.732 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220157.733 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223220233.370 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223220233.370 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220238.418 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220238.418 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 15196 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220238.424 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220238.425 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223220314.778 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223220314.778 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220419.505 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220419.505 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 15239 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220419.511 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220419.512 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223220455.130 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223220455.130 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220649.515 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220649.516 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 789 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220649.521 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220649.522 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
